stat,A100,H100-SXM5,H100-PCIe,L40-PCIe,L4-PCIe

mem_ip,HBM2,HBM3,HBM3,GDDR6,GDDR6
mem_freq,1215,2619,1593,1125,781.25
mem_bw,1555.20,3352.32,2039.04,864.00,300.00
mem_size,40,80,80,48,24
mem_units,5,5,5,12,6

compute_units,108,132,114,142,58
matrix.systolic_depth,8,16,16,2,8
vector.systolic_depth,1,1,1,1,1
matrix.freq,1410,1830,1620,2490,2040
vector.freq,1410,1980,1755,2490,2040

matrix.mac.FP64.ipc,2,2,2,0,0
matrix.mac.FP32.ipc,0,0,0,0,0
matrix.mac.TF32.ipc,16,16,16,16,16
matrix.mac.BF16.ipc,32,32,32,32,32
matrix.mac.FP16.ipc,32,32,32,32,32
matrix.mac.FP8.ipc,0,0,0,0,0
matrix.mac.INT32.ipc,0,0,0,0,0
matrix.mac.INT8.ipc,64,64,64,64,64
matrix.mac.INT4.ipc,128,128,128,128,128

tot.matrix.mac.FP64.ipc,6912,16896,14592,0,0
tot.matrix.mac.FP32.ipc,0,0,0,0,0
tot.matrix.mac.TF32.ipc,55296,135168,116736,18176,29696
tot.matrix.mac.BF16.ipc,110592,270336,233472,36352,59392
tot.matrix.mac.FP16.ipc,110592,270336,233472,36352,59392
tot.matrix.mac.FP8.ipc,0,0,0,72704,118784
tot.matrix.mac.INT32.ipc,0,0,0,0,0
tot.matrix.mac.INT8.ipc,221184,540672,466944,72704,118784
tot.matrix.mac.INT4.ipc,442368,1081344,933888,145408,237568

vector.mac.FP64.ipc,0.5,0.5,0.5,0,0
vector.mac.FP32.ipc,1,1,1,1,1
vector.mac.TF32.ipc,0,0,0,0,0
vector.mac.BF16.ipc,4,2,2,0,0
vector.mac.FP16.ipc,4,2,2,0,0
vector.mac.INT32.ipc,0,0,0,0,0
vector.mac.INT8.ipc,0,0,0,0,0
vector.mac.INT4.ipc,0,0,0,0,0

tot.vector.mac.FP64.ipc,3456,8448,7296,0,0
tot.vector.mac.FP32.ipc,6912,16896,14592,18176,7424
tot.vector.mac.TF32.ipc,0,0,0,0,0
tot.vector.mac.BF16.ipc,27648,33792,29184,0,0
tot.vector.mac.FP16.ipc,27648,33792,29184,0,0
tot.vector.mac.INT32.ipc,0,0,0,0,0
tot.vector.mac.INT8.ipc,0,0,0,0,0
tot.vector.mac.INT4.ipc,0,0,0,0,0

tot.vector.mac.FP64.flops,9.7,33.5,25.6,0,0
tot.vector.mac.FP32.flops,19.5,66.9,51.2,90.5,30.3
tot.vector.mac.TF32.flops,0,0,0,0,0
tot.vector.mac.BF16.flops,78.0,133.8,102.4,0,0
tot.vector.mac.FP16.flops,78.0,133.8,102.4,0,0
tot.vector.mac.INT32.flops,0,0,0,0,0
tot.vector.mac.INT8.flops,0,0,0,0,0
tot.vector.mac.INT4.flops,0,0,0,0,0

tot.matrix.mac.FP64.flops,19.5,66.9,51.2,0,0
tot.matrix.mac.FP32.flops,0,0,0,0,0
tot.matrix.mac.TF32.flops,155.9,494.7,378.2,90.5,121.2
tot.matrix.mac.BF16.flops,311.9,989.4,756.4,181.0,242.3
tot.matrix.mac.FP16.flops,311.9,989.4,756.4,181.0,242.3
tot.matrix.mac.FP8.flops,0,0,0,362.1,484.6
tot.matrix.mac.INT32.flops,0,0,0,0,0
tot.matrix.mac.INT8.flops,623.7,1978.9,1512.9,362.1,484.6
tot.matrix.mac.INT4.flops,1247.5,3957.7,3025.8,724.1,969.3

